RCH,AREAkm2,FLOW_OUTcms,NH4_OUTkg,NO3_OUTkg,NO2_OUTkg,ORGN_OUTkg,总氮负荷,系数1,总氮浓度,体积,Cs,K,环境容量1,系数2,环境容量2,环境容量3,系数4,环境容量4,系数5,环境容量
1,1.03E+02,2.11 ,49080.00 ,4.03E+03,1.55E+03,7.36E+05,7.90E+05,0.0000317098 ,11.882 ,38104.8553492586,1,0.05,-22.9498216641299,86400,0.0220514209197098,-22.9277702432102,86.4,-1980.95934901336,0.365,-723.050162389876
2,1.83E+02,3.74 ,47130.00 ,6.59E+03,4.77E+03,1.13E+06,1.18E+06,0.0000317098 ,10.051 ,314379.305045814,1,0.05,-33.8229315068493,86400,0.181932468197809,-33.6409990386515,86.4,-2906.58231693949,0.365,-1060.90254568291
3,2.04E+02,4.55 ,113800.00 ,6.73E+03,1.43E+04,4.62E+05,5.97E+05,0.0000317098 ,4.157 ,313209.997385735,1,0.05,-14.3685522577372,86400,0.181255785524152,-14.187296472213,86.4,-1225.78241519921,0.365,-447.410581547711
4,1.04E+02,1.59 ,99670.00 ,2.86E+03,1.04E+04,1.43E+05,2.55E+05,0.0000317098 ,5.085 ,42836.1025242044,1,0.05,-6.5081859462202,86400,0.0247894111829887,-6.48339653503721,86.4,-560.165460627215,0.365,-204.460393128933
5,2.37E+02,4.81 ,99370.00 ,1.05E+04,2.25E+04,1.21E+06,1.35E+06,0.0000317098 ,8.862 ,2389672.56782378,1,0.05,-37.8489883307966,86400,1.38291236563876,-36.4660759651578,86.4,-3150.66896338964,0.365,-1149.99417163722
6,4.15E+02,7.79 ,280700.00 ,1.48E+04,5.93E+04,6.86E+05,1.04E+06,0.0000317098 ,4.235 ,1064519.22889732,1,0.05,-25.2155763571791,86400,0.61604122042669,-24.5995351367524,86.4,-2125.39983581541,0.365,-775.770940072624
7,7.03E+02,13.40 ,413600.00 ,3.13E+04,8.47E+04,1.92E+06,2.45E+06,0.0000317098 ,5.804 ,688953.088429019,1,0.05,-64.3708016235414,86400,0.398699703951979,-63.9721019195894,86.4,-5527.18960585252,0.365,-2017.42420613617
8,1.25E+02,1.94 ,84470.00 ,2.58E+03,1.30E+04,8.56E+04,1.86E+05,0.0000317098 ,3.028 ,324557.929284904,1,0.05,-3.94279604261796,86400,0.187822875743579,-3.75497316687438,86.4,-324.429681617947,0.365,-118.416833790551
9,8.58E+02,15.80 ,633900.00 ,3.95E+04,1.05E+05,2.03E+06,2.81E+06,0.0000317098 ,5.639 ,472437.235921745,1,0.05,-73.2994419076611,86400,0.273401178195454,-73.0260407294657,86.4,-6309.44991902584,0.365,-2302.94922044443
10,6.58E+02,9.53 ,96060.00 ,2.82E+04,2.10E+04,2.07E+06,2.22E+06,0.0000317098 ,7.381 ,10557711.8584893,1,0.05,-60.8108802638255,86400,6.10978695514427,-54.7010933086812,86.4,-4726.17446187006,0.365,-1725.05367858257
11,1.01E+02,1.55 ,122400.00 ,2.58E+03,2.71E+02,1.03E+05,2.28E+05,0.0000317098 ,4.665 ,746.156909579825,1,0.05,-5.68132293252157,86400,0.000431803767117954,-5.68089112875445,86.4,-490.828993524384,0.365,-179.1525826364
12,2.66E+02,3.69 ,30030.00 ,5.09E+03,4.29E+03,3.51E+05,3.91E+05,0.0000317098 ,3.354 ,672685.036446227,1,0.05,-8.69105428716388,86400,0.389285322017493,-8.30176896514639,86.4,-717.272838588648,0.365,-261.804586084857
13,7.35E+02,15.44 ,135900.00 ,3.70E+04,2.47E+04,3.15E+06,3.35E+06,0.0000317098 ,6.877 ,7769367.99701039,1,0.05,-90.7440436326738,86400,4.49616203530694,-86.2478815973669,86.4,-7451.8169700125,0.365,-2719.91319405456
14,1.24E+02,1.82 ,94300.00 ,3.63E+03,8.49E+02,1.29E+05,2.28E+05,0.0000317098 ,3.978 ,234076.283714163,1,0.05,-5.41659107052258,86400,0.135460812334585,-5.281130258188,86.4,-456.289654307443,0.365,-166.545723822217
15,1.28E+02,1.55 ,26700.00 ,2.29E+03,4.02E+03,1.17E+05,1.50E+05,0.0000317098 ,3.059 ,166022.177835822,1,0.05,-3.19722196854389,86400,0.0960776492105451,-3.10114431933334,86.4,-267.938869190401,0.365,-97.7976872544963
16,1.34E+02,2.80 ,42360.00 ,4.74E+03,4.77E+03,2.92E+05,3.44E+05,0.0000317098 ,3.894 ,145508.971339482,1,0.05,-8.10605859969559,86400,0.0842065806362743,-8.02185201905932,86.4,-693.088014446725,0.365,-252.977125273055
17,1.43E+02,2.92 ,38550.00 ,5.44E+03,5.06E+03,2.97E+05,3.46E+05,0.0000317098 ,3.763 ,337178.174890812,1,0.05,-8.05931278538813,86400,0.195126258617368,-7.86418652677076,86.4,-679.465715912994,0.365,-248.004986308243
18,1.55E+03,25.65 ,653300.00 ,1.31E+05,1.88E+05,4.00E+06,4.98E+06,0.0000317098 ,6.152 ,6054881.02418549,1,0.05,-132.137924911213,86400,3.50398207418142,-128.633942837031,86.4,-11113.9726611195,0.365,-4056.60002130862
19,4.39E+02,5.67 ,117300.00 ,1.16E+04,2.14E+04,4.00E+05,5.50E+05,0.0000317098 ,3.077 ,904637.857556167,1,0.05,-11.7776301369863,86400,0.523517278678337,-11.254112858308,86.4,-972.355350957809,0.365,-354.9097030996
20,1.03E+02,1.47 ,39210.00 ,1.74E+03,2.57E+03,9.07E+04,1.34E+05,0.0000317098 ,2.905 ,38555.074293622,1,0.05,-2.79073947234906,86400,0.0223119642902905,-2.76842750805877,86.4,-239.192136696278,0.365,-87.3051298941414
21,1.99E+03,31.32 ,818800.00 ,1.45E+05,2.09E+05,4.40E+06,5.57E+06,0.0000317098 ,5.644 ,216812.562270974,1,0.05,-145.439893455099,86400,0.125470232795703,-145.314423222303,86.4,-12555.166166407,0.365,-4582.63565073856
