RCH,AREAkm2,FLOW_OUTcms,MINP_OUTkg,ORGP_OUTkg,总磷负荷,系数1,总磷浓度,体积,Cs,K,环境容量1,系数2,环境容量2,环境容量3,系数4,环境容量4,系数5,环境容量
1,1.03E+02,2.11 ,3.74E+03,9.42E+04,9.79E+04,0.0000317098 ,1.472 ,38104.8553492586,0.2,0.05,-2.68252521562659,86400,0.00441028418394197,-2.67811493144264,86.4,-231.389130076645,0.365,-84.4570324779752
2,1.83E+02,3.74 ,5.01E+03,1.43E+05,1.48E+05,0.0000317098 ,1.258 ,314379.305045814,0.2,0.05,-3.95227656012177,86400,0.0363864936395618,-3.91589006648221,86.4,-338.332901744063,0.365,-123.491509136583
3,2.04E+02,4.55 ,1.28E+04,6.44E+04,7.72E+04,0.0000317098 ,0.538 ,313209.997385735,0.2,0.05,-1.53811303906647,86400,0.0362511571048305,-1.50186188196163,86.4,-129.760866601485,0.365,-47.3627163095421
4,1.04E+02,1.59 ,9.26E+03,2.13E+04,3.06E+04,0.0000317098 ,0.609 ,42836.1025242044,0.2,0.05,-0.650863470319635,86400,0.00495788223659773,-0.645905588083037,86.4,-55.8062428103744,0.365,-20.3692786257867
5,2.37E+02,4.81 ,5.10E+03,1.52E+05,1.58E+05,0.0000317098 ,1.037 ,2389672.56782378,0.2,0.05,-4.03149223744292,86400,0.276582473127752,-3.75490976431517,86.4,-324.424203636831,0.365,-118.414834327443
6,4.15E+02,7.79 ,2.44E+04,9.98E+04,1.24E+05,0.0000317098 ,0.505 ,1064519.22889732,0.2,0.05,-2.37923906646373,86400,0.123208244085338,-2.25603082237839,86.4,-194.921063053493,0.365,-71.1461880145248
7,7.03E+02,13.40 ,3.27E+04,2.54E+05,2.87E+05,0.0000317098 ,0.679 ,688953.088429019,0.2,0.05,-6.42451547437849,86400,0.0797399407903957,-6.3447755335881,86.4,-548.188606102012,0.365,-200.088841227234
8,1.25E+02,1.94 ,2.58E+03,1.53E+04,1.79E+04,0.0000317098 ,0.291 ,324557.929284904,0.2,0.05,-0.177790563165906,86400,0.0375645751487157,-0.14022598801719,86.4,-12.1155253646852,0.365,-4.42216675811011
9,8.58E+02,15.80 ,3.79E+04,2.78E+05,3.16E+05,0.0000317098 ,0.633 ,472437.235921745,0.2,0.05,-6.84761035007611,86400,0.0546802356390909,-6.79293011443702,86.4,-586.909161887358,0.365,-214.221844088886
10,6.58E+02,9.53 ,7.38E+03,2.57E+05,2.64E+05,0.0000317098 ,0.879 ,10557711.8584893,0.2,0.05,-6.46779502790462,86400,1.22195739102885,-5.24583763687577,86.4,-453.240371826066,0.365,-165.432735716514
11,1.01E+02,1.55 ,1.18E+03,2.08E+04,2.20E+04,0.0000317098 ,0.450 ,746.156909579825,0.2,0.05,-0.387298325722984,86400,8.63607534235909E-05,-0.38721196496956,86.4,-33.45511377337,0.365,-12.21111652728
12,2.66E+02,3.69 ,4.52E+03,4.99E+04,5.44E+04,0.0000317098 ,0.468 ,672685.036446227,0.2,0.05,-0.988071334348047,86400,0.0778570644034985,-0.910214269944549,86.4,-78.642512923209,0.365,-28.7045172169713
13,7.35E+02,15.44 ,2.42E+04,3.99E+05,4.23E+05,0.0000317098 ,0.869 ,7769367.99701039,0.2,0.05,-10.3322181633689,86400,0.899232407061388,-9.43298575630747,86.4,-815.009969344965,0.365,-297.478638810912
14,1.24E+02,1.82 ,2.92E+03,2.24E+04,2.53E+04,0.0000317098 ,0.441 ,234076.283714163,0.2,0.05,-0.438394317605277,86400,0.027092162466917,-0.41130215513836,86.4,-35.5365062039543,0.365,-12.9708247644433
15,1.28E+02,1.55 ,1.44E+03,1.81E+04,1.95E+04,0.0000317098 ,0.398 ,166022.177835822,0.2,0.05,-0.307962912227296,86400,0.019215529842109,-0.288747382385187,86.4,-24.9477738380802,0.365,-9.10593745089926
16,1.34E+02,2.80 ,4.26E+03,4.23E+04,4.66E+04,0.0000317098 ,0.527 ,145508.971339482,0.2,0.05,-0.917286047691528,86400,0.0168413161272549,-0.900444731564273,86.4,-77.7984248071532,0.365,-28.3964250546109
17,1.43E+02,2.92 ,4.71E+03,4.25E+04,4.72E+04,0.0000317098 ,0.513 ,337178.174890812,0.2,0.05,-0.914126636225267,86400,0.0390252517234736,-0.875101384501793,86.4,-75.608759620955,0.365,-27.5971972616486
18,1.55E+03,25.65 ,6.96E+04,5.08E+05,5.77E+05,0.0000317098 ,0.714 ,6054881.02418549,0.2,0.05,-13.1789167935058,86400,0.700796414836284,-12.4781203786696,86.4,-1078.10960071705,0.365,-393.510004261723
19,4.39E+02,5.67 ,8.45E+03,6.21E+04,7.06E+04,0.0000317098 ,0.395 ,904637.857556167,0.2,0.05,-1.10327463216641,86400,0.104703455735668,-0.998571176430746,86.4,-86.2765496436165,0.365,-31.49094061992
20,1.03E+02,1.47 ,3.05E+03,1.38E+04,1.69E+04,0.0000317098 ,0.365 ,38555.074293622,0.2,0.05,-0.242071029934044,86400,0.0044623928580581,-0.237608637075986,86.4,-20.5293862433652,0.365,-7.49322597882829
21,1.99E+03,31.32 ,7.95E+04,5.70E+05,6.50E+05,0.0000317098 ,0.658 ,216812.562270974,0.2,0.05,-14.3330953830543,86400,0.0250940465591405,-14.3080013364952,86.4,-1236.21131547318,0.365,-451.217130147711
22,8.52E+02,13.75 ,3.93E+04,1.50E+05,1.89E+05,0.0000317098 ,0.436 ,1210669.25607885,0.2,0.05,-3.24251648909183,86400,0.140123756490608,-3.10239273260123,86.4,-268.046732096746,0.365,-97.8370572153123
23,8.08E+02,17.37 ,7.65E+03,3.17E+05,3.24E+05,0.0000317098 ,0.592 ,14901146.5893567,0.2,0.05,-6.81430542871639,86400,1.72466974413851,-5.08963568457788,86.4,-439.744523147529,0.365,-160.506750948848
24,3.15E+03,56.48 ,1.43E+05,9.10E+05,1.05E+06,0.0000317098 ,0.591 ,1551159.99634702,0.2,0.05,-22.0817270421106,86400,0.179532406984609,-21.902194635126,86.4,-1892.34961647489,0.365,-690.707610013334
25,1.44E+02,2.01 ,4.30E+03,2.61E+04,3.04E+04,0.0000317098 ,0.481 ,81632.3408010774,0.2,0.05,-0.563719228817859,86400,0.00944818759271729,-0.554271041225142,86.4,-47.8890179618523,0.365,-17.4794915560761
26,1.08E+03,16.80 ,5.06E+04,1.79E+05,2.29E+05,0.0000317098 ,0.433 ,2881987.25333929,0.2,0.05,-3.9142262810756,86400,0.333563339506862,-3.58066294156874,86.4,-309.369278151539,0.365,-112.919786525312
27,1.22E+03,21.83 ,5.96E+04,4.30E+05,4.89E+05,0.0000317098 ,0.711 ,7947470.34346242,0.2,0.05,-11.1492841197362,86400,0.91984610456741,-10.2294380151688,86.4,-883.823444510582,0.365,-322.595557246362
28,7.26E+02,12.01 ,3.29E+04,1.35E+05,1.68E+05,0.0000317098 ,0.444 ,5873897.58648776,0.2,0.05,-2.93253830542872,86400,0.679849257695343,-2.25268904773338,86.4,-194.632333724164,0.365,-71.0408018093197
29,2.34E+03,39.05 ,1.30E+05,5.98E+05,7.27E+05,0.0000317098 ,0.590 ,3595204.06341762,0.2,0.05,-15.2461897513952,86400,0.416111581414076,-14.8300781699812,86.4,-1281.31875388637,0.365,-467.681345168526
30,5.24E+03,89.05 ,2.39E+05,1.47E+06,1.71E+06,0.0000317098 ,0.609 ,8175489.34043271,0.2,0.05,-36.3852054794521,86400,0.946237192179712,-35.4389682872724,86.4,-3061.92686002033,0.365,-1117.60330390742
31,5.30E+03,89.72 ,2.49E+05,1.47E+06,1.71E+06,0.0000317098 ,0.606 ,5976675.38304309,0.2,0.05,-36.393899543379,86400,0.691744836000358,-35.7021547073787,86.4,-3084.66616671752,0.365,-1125.90315085189
32,6.42E+03,104.20 ,2.82E+05,1.64E+06,1.92E+06,0.0000317098 ,0.583 ,76397.9216950515,0.2,0.05,-39.9540131912735,86400,0.00884235204803837,-39.9451708392255,86.4,-3451.26276050908,0.365,-1259.71090758581
33,1.12E+03,14.46 ,3.25E+04,1.69E+05,2.02E+05,0.0000317098 ,0.442 ,5039331.34633591,0.2,0.05,-3.50354794520548,86400,0.583255942862953,-2.92029200234253,86.4,-252.313229002395,0.365,-92.094328585874
34,6.59E+03,106.30 ,2.87E+05,1.66E+06,1.95E+06,0.0000317098 ,0.582 ,4368897.17948698,0.2,0.05,-40.5867782851345,86400,0.505659395773956,-40.0811188893605,86.4,-3463.00867204075,0.365,-1263.99816529487
